Time,Names,Frame_idx,Bboxes,Emotion
15.44,"['Unknown', 'Son Tung', 'Unknown']",386,"[[0.6742069244384765, 0.16602444648742676, 0.7664306640625, 0.4159595489501953], [0.221101713180542, 0.027669325470924377, 0.3342080354690552, 0.30913591384887695], [0.5134964466094971, 0.11822502613067627, 0.6207985877990723, 0.42443075180053713]]","[['faithful', 'love', 'wedding', 'festival', 'happy', 'celebration'], ['faithful', 'pride', 'protest', 'serious', 'war', 'freedom'], ['love', 'addiction', 'problem', 'happy', 'bothered', 'sad']]"
15.64,"['Son Tung', 'Unknown', 'Unknown', 'Unknown', 'Unknown']",391,"[[0.2219113826751709, 0.06756426095962524, 0.3261898040771484, 0.3268418312072754], [0.6341795921325684, 0.19346433877944946, 0.7175890922546386, 0.4216416358947754], [0.4702254295349121, 0.14789141416549684, 0.56466703414917, 0.429276180267334], [0.8142475128173828, 0.32202930450439454, 0.8517739295959472, 0.41939210891723633], [0.9493042945861816, 0.2322636604309082, 1.0008506774902344, 0.4388387203216553]]","[['faithful', 'pride', 'fantasy', 'protest', 'mystery', 'halloween'], ['happy', 'fun', 'love', 'holiday', 'celebration', 'smile'], ['happy', 'love', 'fun', 'celebration', 'happiness', 'smile'], ['criminal', 'success', 'happy', 'corruption', 'fraud', 'love'], ['success', 'criminal', 'glow', 'danger', 'fear', 'horror']]"
16.04,"['Unknown', 'Unknown', 'Son Tung', 'Unknown', 'Unknown']",401,"[[0.45540485382080076, 0.21217739582061768, 0.5326756477355957, 0.4257554054260254], [0.5958855628967286, 0.24403805732727052, 0.6724264621734619, 0.4475105285644531], [0.23300390243530272, 0.13551831245422363, 0.3218576908111572, 0.34403836727142334], [0.8547751426696777, 0.23951120376586915, 0.9437638282775879, 0.4734327793121338], [0.03223790526390076, 0.24446239471435546, 0.07317769527435303, 0.35259482860565183]]","[['love', 'addiction', 'happy', 'fun', 'celebration', 'halloween'], ['faithful', 'happy', 'festival', 'fun', 'love', 'celebration'], ['pride', 'protest', 'faithful', 'cheer', 'celebration', 'fun'], ['happy', 'violence', 'protest', 'fun', 'love', 'criminal'], ['criminal', 'protest', 'violence', 'corruption', 'murder', 'faithful']]"
16.24,"['Unknown', 'Son Tung', 'Unknown', 'Unknown', 'Unknown']",406,"[[0.4493591785430908, 0.2327810764312744, 0.5186669826507568, 0.4314608097076416], [0.2279351234436035, 0.13399102687835693, 0.314087438583374, 0.3494016170501709], [0.8197580337524414, 0.256392765045166, 0.8985380172729492, 0.46500320434570314], [0.5865668773651123, 0.25965807437896726, 0.6549906730651855, 0.4429179191589355], [0.05628085732460022, 0.25315351486206056, 0.09411129355430603, 0.3582428455352783]]","[['love', 'happy', 'fun', 'addiction', 'celebration', 'horror'], ['celebration', 'fun', 'pride', 'protest', 'cheer', 'happy'], ['corruption', 'protest', 'violence', 'criminal', 'murder', 'victim'], ['happy', 'fun', 'love', 'celebration', 'smile', 'holiday'], ['criminal', 'murder', 'death', 'violence', 'corruption', 'danger']]"
16.44,"['Unknown', 'Son Tung', 'Unknown', 'Unknown', 'Unknown']",411,"[[0.7869481086730957, 0.2799615621566772, 0.8559982299804687, 0.4683333396911621], [0.22865161895751954, 0.15952132940292357, 0.30289454460144044, 0.3523864269256592], [0.44643430709838866, 0.2530523777008057, 0.5108979225158692, 0.4354501724243164], [0.5735540390014648, 0.2836580514907837, 0.6363651275634765, 0.4466572284698486], [0.08020973205566406, 0.27084918022155763, 0.11717970371246338, 0.36682283878326416]]","[['criminal', 'violence', 'danger', 'happy', 'fun', 'murder'], ['fantasy', 'erotic', 'mysterious', 'love', 'halloween', 'fun'], ['love', 'fun', 'happy', 'addiction', 'problem', 'smile'], ['faithful', 'cheer', 'protest', 'festival', 'celebration', 'happy'], ['criminal', 'violence', 'corruption', 'murder', 'danger', 'death']]"
16.64,"['Unknown', 'Chi Pu', 'Unknown', 'Son Tung']",416,"[[0.5677733421325684, 0.29557621479034424, 0.6256752014160156, 0.44728527069091795], [0.44591994285583497, 0.25632786750793457, 0.5091543197631836, 0.43137035369873045], [0.7621913433074952, 0.2919884920120239, 0.82275390625, 0.46105294227600097], [0.23434097766876222, 0.17870583534240722, 0.3008508920669556, 0.356255030632019]]","[['faithful', 'fun', 'happy', 'celebration', 'cheer', 'smile'], ['love', 'fun', 'happy', 'halloween', 'smile', 'celebration'], ['happy', 'love', 'fun', 'smiling', 'smile', 'violence'], ['erotic', 'fantasy', 'love', 'fun', 'happy', 'holiday']]"
17.04,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Son Tung']",426,"[[0.5565618515014649, 0.3065515995025635, 0.6084431648254395, 0.4390103340148926], [0.456990385055542, 0.2812505722045898, 0.5123212337493896, 0.4310585975646973], [0.035369083285331726, 0.21083054542541504, 0.1043933391571045, 0.4268636226654053], [0.7247755527496338, 0.31236002445220945, 0.7800090789794922, 0.4693570137023926], [0.2598966121673584, 0.21455349922180175, 0.3219757556915283, 0.381717324256897]]","[['faithful', 'festival', 'pride', 'cheer', 'celebration', 'happy'], ['happy', 'fun', 'love', 'celebration', 'holiday', 'addiction'], ['criminal', 'love', 'danger', 'addiction', 'happy', 'fun'], ['happy', 'love', 'fun', 'smiling', 'cheerful', 'celebration'], ['horror', 'love', 'halloween', 'nightmare', 'fear', 'dreads']]"
17.24,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']",431,"[[0.7156180381774903, 0.3359161376953125, 0.7664572715759277, 0.47733163833618164], [0.4603732109069824, 0.302698016166687, 0.5150951862335205, 0.4489025592803955], [0.552095603942871, 0.32678225040435793, 0.6027572631835938, 0.4513434410095215], [0.06335039138793945, 0.242096209526062, 0.12284003496170044, 0.41974582672119143], [0.28587541580200193, 0.24684038162231445, 0.3432222843170166, 0.39972786903381347]]","[['happy', 'criminal', 'fun', 'love', 'violence', 'smile'], ['erotic', 'love', 'danger', 'criminal', 'horror', 'hoping'], ['faithful', 'protest', 'corruption', 'pray', 'celebration', 'criminal'], ['criminal', 'violence', 'murder', 'corruption', 'danger', 'sad'], ['love', 'death', 'halloween', 'fantasy', 'horror', 'violence']]"
17.44,"['Unknown', 'Huong Lan', 'Unknown', 'Unknown', 'Unknown']",436,"[[0.7024197578430176, 0.336946439743042, 0.7529585838317872, 0.4767064094543457], [0.4642148971557617, 0.3110658168792725, 0.5188764572143555, 0.4545121669769287], [0.5584394931793213, 0.3364903688430786, 0.6058834075927735, 0.4580479621887207], [0.08113261461257934, 0.2440410614013672, 0.1423494338989258, 0.42128801345825195], [0.31198792457580565, 0.24963700771331787, 0.36761186122894285, 0.41004552841186526]]","[['happy', 'love', 'fun', 'smile', 'smiling', 'holiday'], ['celebration', 'fun', 'halloween', 'happy', 'holiday', 'horror'], ['protest', 'corruption', 'faithful', 'violence', 'crisis', 'happy'], ['love', 'happy', 'fun', 'criminal', 'smiling', 'danger'], ['fear', 'dreads', 'horror', 'violence', 'sad', 'fantasy']]"
17.64,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']",441,"[[0.46514091491699217, 0.3169841766357422, 0.5174381732940674, 0.45102605819702146], [0.09729928970336914, 0.26476340293884276, 0.1544650673866272, 0.43074493408203124], [0.5601753234863281, 0.34410035610198975, 0.6057593345642089, 0.45916080474853516], [0.6882692337036133, 0.3356793403625488, 0.7369027137756348, 0.4651063919067383], [0.336256742477417, 0.2556873559951782, 0.3924319505691528, 0.40970869064331056]]","[['celebration', 'halloween', 'holiday', 'horror', 'happy', 'fun'], ['happy', 'love', 'fun', 'smiling', 'smile', 'celebration'], ['happy', 'love', 'smile', 'success', 'fun', 'happiness'], ['love', 'happy', 'fun', 'faithful', 'smile', 'violence'], ['halloween', 'fear', 'horror', 'violence', 'murder', 'love']]"
